Year,County Name,Type of Control,Total Revenue,Total Cost,Total Profit,Operating Margin
2009,Napa,Non-Profit,504894319.0,508948685.0,-4054366.0,-4.31
2009,Lake,Non-Profit,171246656.0,171130525.0,116131.0,0.04
2009,Solano,Non-Profit,65185739.0,65584582.0,-398843.0,-2.17
2009,Los Angeles,Non-Profit,983839988.0,992774593.0,-8934605.0,-3.37
2009,Ventura,Non-Profit,337466945.0,338039878.0,-572933.0,1.81
2009,Ventura,Non-Profit,871862416.0,875623435.0,-3761019.0,-1.69
2009,Humboldt,Non-Profit,608277914.0,608898526.0,-620612.0,0.33
2009,Orange,Non-Profit,1950232627.0,1964893229.0,-14660602.0,2.84
2009,San Joaquin,Non-Profit,25384566.0,25898953.0,-514387.0,0.01
2009,San Joaquin,Non-Profit,1578603879.0,1572020707.0,6583172.0,4.73
2009,Orange,Non-Profit,1450577462.0,1456882932.0,-6305470.0,6.18
2009,Santa Clara,Non-Profit,354687670.0,353646473.0,1041197.0,1.19
2009,Los Angeles,Non-Profit,799192055.0,795671321.0,3520734.0,3.68
